reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_td5e97384,Q6065647,Ipswich Wanderers F.C.,United Kingdom,1980-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3f2a2882,Q3874673,Iraklis Gerolakkou,Cyprus,1948-01-01,Kykkos Stadium,,,,,,,,,,,,,,,,,,,153199,,
reep_t680a6021,Q117455420,Iraklis Halki,,,,,,,,,,,,,,,,,,,,,,,,
reep_tf5e18a7d,Q25535762,Iraklis Larissa F.C.,Greece,1930-01-01,Neapolis Sports Center,,,,,,,,,,,,,,,,,,,,,
reep_t3a065eb6,Q96382819,Iraklis Neos Zygos F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t19cb71b7,Q3177757,Iraklis Psachna F.C.,Greece,1936-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t5ded0f00,Q135996424,Iraklis Thermaikou,Greece,2019-01-01,,,,,,,,,,,,,,,,,,,,155012,,
reep_t8282b81e,Q12872771,Iraklis Volos F.C.,Greece,1932-01-29,Q65273070,,,,,,,,,,,,,,,,,,,,,
reep_tef4d860f,Q6066755,Iran Club,Iran,1920-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t59a842c7,Q9211975,Iran-khodro Oliyaei Kashmar F.C.,Iran,2008-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t5a27ade8,Q55614616,Iranian Football Association Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,
reep_t12badb2c,Q9189031,Iranjavan F.C.,Iran,1948-01-01,Shahid Beheshti Stadium,,,,,,,,,,,,,,,,,,,,,
reep_t2567cfdc,Q6068111,Iraqi clubs in the AFC Cup,Iraq,,,,,,,,,,,,,,,,,,,,,,,
