reep_id,key_wikidata,name,competition_reep_id
reep_se04191e1,Q911089,1938–39 Serie A,
reep_s3c706c59,Q1636370,1938–39 Serie B,
reep_s11437102,Q3957737,1938–39 Serie C,
reep_s39e37fda,Q2399312,1939 Uruguayan Primera División,
reep_sd9b74db9,Q591232,1939–40 Allsvenskan,
reep_sd931a7b9,Q580198,1939–40 La Liga,
reep_s7baa3683,Q3566732,1939–40 Panhellenic Championship,
reep_s98c322b4,Q548311,1939–40 Serie A,
reep_s9ccae91f,Q911166,1939–40 Serie B,
reep_s1c8127bc,Q3957739,1939–40 Serie C,
reep_s8fc8dd95,Q1118361,1940 Uruguayan Primera División,
reep_s63390f72,Q250188,1940–41 Allsvenskan,
reep_s96599f3b,Q839789,1940–41 La Liga,
reep_s57aa0d6c,Q4564861,1940–41 Panhellenic Championship,
reep_s426d2b4c,Q911330,1940–41 Serie A,
reep_s2604b48f,Q1396606,1940–41 Serie B,
reep_sb47d1fee,Q3957740,1940–41 Serie C,
reep_s2225a604,Q2629471,1941 Uruguayan Primera División,
reep_s3c1b9642,Q254864,1941–42 Allsvenskan,
reep_s9a077777,Q834983,1941–42 La Liga,
reep_s3738d9d1,Q105082084,1941–42 Panhellenic Championship,
reep_s129be6d1,Q910671,1941–42 Serie A,
reep_s5f6dd8f3,Q1363326,1941–42 Serie B,
reep_s465c71c9,Q3957743,1941–42 Serie C,
reep_sce2c73a3,Q2629457,1942 Uruguayan Primera División,
reep_sd853f2aa,Q1062012,1942–43 Allsvenskan,
reep_s8150a439,Q540086,1942–43 La Liga,
reep_sc169cb4b,Q13624413,1942–43 Panhellenic Championship,
reep_s5d32d034,Q910660,1942–43 Serie A,
reep_s5f2e8d4a,Q1637002,1942–43 Serie B,
reep_sa7f969ad,Q3957744,1942–43 Serie C,
reep_s4e690ae5,Q2629462,1943 Uruguayan Primera División,
reep_sfad298bf,Q943227,1943–44 Allsvenskan,
reep_s913965e9,Q224474,1943–44 La Liga,
reep_s38d9d56f,Q105081957,1943–44 Panhellenic Championship,
reep_s292508fb,Q2629146,1944 Uruguayan Primera División,
reep_s41215531,Q1061697,1944–45 Allsvenskan,
reep_sc3195c31,Q659980,1944–45 La Liga,
reep_s51a025e6,Q104864745,1944–45 Panhellenic Championship,
reep_s7b25fc6a,Q509694,1945 Uruguayan Primera División,
reep_sfd18ca8f,Q1061613,1945–46 Allsvenskan,
reep_sf86c5baa,Q637570,1945–46 French Division 1,
reep_s14ea50e7,Q747246,1945–46 French Division 2,
reep_s8331bfdc,Q671013,1945–46 La Liga,
reep_s3334a246,Q3566726,1945–46 Panhellenic Championship,
reep_s9d4f15d5,Q581109,1945–46 Serie A–B,
reep_s4565f29a,Q3957456,1945–46 Serie B–C,
reep_sac9f44cd,Q3957746,1945–46 Serie C,
reep_sf938afa5,Q2629441,1946 Uruguayan Primera División,
reep_sc4458efd,Q1061758,1946–47 Allsvenskan,
reep_s680f0c19,Q1230834,1946–47 French Division 1,
reep_sa30fff6d,Q1231133,1946–47 French Division 2,
reep_s8bdf27bf,Q834952,1946–47 La Liga,
reep_sae8669b9,Q3566700,1946–47 Panhellenic Championship,
reep_s1402e224,Q425774,1946–47 Serie A,
reep_s869f32a2,Q1053719,1946–47 Serie B,
reep_sc94a5111,Q3957751,1946–47 Serie C,
reep_s3e3bd4dd,Q2629121,1947 Uruguayan Primera División,
reep_s7dd110de,Q1061620,1947–48 Allsvenskan,
reep_s49a53630,Q1230836,1947–48 French Division 1,
reep_scba7456c,Q1231136,1947–48 French Division 2,
reep_s065d3699,Q839792,1947–48 La Liga,
reep_s17cf1faa,Q3566742,1947–48 Panhellenic Championship,
reep_s0b1cfdcb,Q853376,1947–48 Serie A,
reep_s1a6eb6b8,Q1053652,1947–48 Serie B,
reep_s32de8581,Q3957755,1947–48 Serie C,
reep_s1b01f3f9,Q2629431,1948 Uruguayan Primera División,
reep_sb8c09af0,Q1061774,1948–49 Allsvenskan,
reep_s7c03bda7,Q384689,1948–49 French Division 1,
reep_s25a00606,Q203189,1948–49 French Division 2,
reep_s3073fb63,Q540620,1948–49 La Liga,
reep_sd623fb71,Q3566763,1948–49 Panhellenic Championship,
reep_se4cc0cc1,Q909441,1948–49 Serie A,
reep_s54a55d7b,Q1169334,1948–49 Serie B,
reep_s60b046de,Q3957757,1948–49 Serie C,
reep_sfd962ce4,Q2629035,1949 Uruguayan Primera División,
reep_sd39f2be2,Q1061789,1949–50 Allsvenskan,
reep_s813d6c19,Q368925,1949–50 French Division 1,
reep_s2c377cf7,Q264789,1949–50 French Division 2,
reep_sb0a6ef5d,Q776036,1949–50 La Liga,
