date,time,Comp,Round,fbref_home_team,home_xg,home_goals,away_goals,away_xg,fbref_away_team,MatchURL,matchup,stad_lat,stad_long,fotmob_match_id,understat_match_id,sofascore_match_id,espn_match_id
2018-02-18,15:00,Serie A,Matchweek 25,Napoli,1.4,1,0,0.1,SPAL,https://fbref.com/en/matches/8af24436/Napoli-SPAL-February-18-2018-Serie-A,Napoli-SPAL,40.82812,14.19304,2588573,7741,7498252,491445
2021-03-13,14:00,La Liga,Matchweek 27,Alavés,1.3,1,1,1.7,Cádiz,https://fbref.com/en/matches/831d1a26/Alaves-Cadiz-March-13-2021-La-Liga,Alavés-Cádiz,42.84967765,-2.686161066,3424298,15038,8966385,581935
2021-01-24,13:00,Ligue 1,Matchweek 21,Bordeaux,0.8,2,1,1.7,Angers,https://fbref.com/en/matches/59557294/Bordeaux-Angers-January-24-2021-Ligue-1,Bordeaux-Angers,44.829167,-0.597778,3361812,15956,8738609,573063
2015-11-07,15:00,Premier League,Matchweek 12,West Ham,0.589567,1,1,1.08814,Everton,https://fbref.com/en/matches/178e3379/West-Ham-United-Everton-November-7-2015-Premier-League,West Ham-Everton,51.53194,0.039444,1988829,195,6768121,422547
2018-12-15,20:00,Ligue 1,Matchweek 18,Reims,0.6,2,1,0.7,Strasbourg,https://fbref.com/en/matches/a58c1c71/Reims-Strasbourg-December-15-2018-Ligue-1,Reims-Strasbourg,49.24667,4.025,2774078,10822,7821577,512209
2016-02-14,12:30,Serie A,Matchweek 25,Milan,0.743611,2,1,1.08215,Genoa,https://fbref.com/en/matches/3451c9e5/Milan-Genoa-February-14-2016-Serie-A,Milan-Genoa,45.47833,9.123887,2060377,796,6830219,432022
2021-05-22,18:00,La Liga,Matchweek 38,Valladolid,0.9,1,2,1.9,Atlético Madrid,https://fbref.com/en/matches/7550edb7/Valladolid-Atletico-Madrid-May-22-2021-La-Liga,Valladolid-Atlético Madrid,41.644444,-4.761111,3424416,15156,8966151,581825
2023-05-28,19:00,La Liga,Matchweek 37,Getafe,2.7,2,1,0.6,Osasuna,https://fbref.com/en/matches/dd7431ec/Getafe-Osasuna-May-28-2023-La-Liga,Getafe-Osasuna,40.32556,-3.714722,3918302,19325,10408286,644135
2021-02-03,19:00,Ligue 1,Matchweek 23,Metz,0.7,1,1,1.1,Montpellier,https://fbref.com/en/matches/d53b40e0/Metz-Montpellier-February-3-2021-Ligue-1,Metz-Montpellier,49.11038537,6.160182256,3361835,15979,8738722,573049
2016-09-11,15:00,Ligue 1,Matchweek 4,Nantes,0.853017,0,3,1.31386,Metz,https://fbref.com/en/matches/b69be4ce/Nantes-Metz-September-11-2016-Ligue-1,Nantes-Metz,47.25563,-1.525375,2241364,2286,7079893,449287
2014-10-18,15:30,Bundesliga,Matchweek 8,Köln,0.904346,2,1,0.825853,Dortmund,https://fbref.com/en/matches/03072225/Koln-Dortmund-October-18-2014-Bundesliga,Köln-Dortmund,50.9335,6.874997,1732785,5397,5614830,396928
2014-11-29,15:00,Premier League,Matchweek 13,Liverpool,1.71025,1,0,0.875424,Stoke City,https://fbref.com/en/matches/1923abf0/Liverpool-Stoke-City-November-29-2014-Premier-League,Liverpool-Stoke City,53.43082,-2.960828,1724103,4682,5582674,395651
